"TH_T_U_UID","TERM","CLA_GR_UID","BROAD_TERM_U_UID","TOP_TERM_U_UID"
123699,"BEANS",77,123693,123898
123700,"CEREAL",77,123586,123898
123701,"BARLEY",77,123700,123898
123702,"CORN",77,123700,123898
123704,"FLOUR",77,123700,123898
123705,"GRAIN",77,123700,123898
123706,"MAIZE",77,123700,123898
123707,"MALT",77,123700,123898
123708,"MEAL",77,123700,123898
123709,"OATMEAL",77,123700,123898
123710,"OATS",77,123700,123898
123711,"RYE",77,123700,123898
123713,"WHEAT",77,123700,123898
123714,"RICE",77,123700,123898
123715,"LIQUIDS",77,123586,123898
123716,"ALCOHOLIC DRINK",77,123715,123898
123717,"BEER",77,123716,123898
123718,"BRANDY",77,151864,123898
123719,"WINE",77,123716,123898
123720,"CLARET",77,123719,123898
123721,"MADEIRA",77,123719,123898
123722,"PORT WINE",77,123719,123898
123724,"PORTER",77,123717,123898
123725,"GIN",77,151864,123898
123726,"RUM",77,151864,123898
123727,"COCONUT OIL",77,123715,123898
123728,"FISH OIL",77,123715,123898
123729,"MOLASSES",77,123715,123898
123730,"OLIVE OIL",77,123715,123898
123731,"VINEGAR",77,123715,123898
123732,"WATER",77,123715,123898
123734,"PALM OIL",77,123715,123898
123735,"FISHING GEAR",77,152203,123898
123736,"TOOLS",77,152203,123898
123737,"MAIL",77,123898,123898
123738,"PAINT",77,152203,123898
123739,"PAPER",77,151983,123898
123740,"ROPE",77,124080,123898
123741,"GOVERNMENT STORES",77,123898,123898
123743,"WAX",77,140917,123898
123744,"INDIGO",77,123862,123898
123745,"MASTS",77,152084,123898
123747,"PIT PROPS",77,123622,123898
123749,"RAILWAY COMPONENTS",77,123898,123898
123750,"FARM MACHINERY",77,123788,123898
123751,"CATTLE FODDER",77,123946,123898
123753,"FERTILIZER",77,123752,123898
123754,"GUANO",77,123752,123898
123756,"RUBBISH",77,123752,123898
123758,"SLUDGE",77,123752,123898
123636,"GRANITE",77,123630,123898
123637,"GRANITE BOULDERS",77,123636,123898
123638,"GRANITE BLOCKS",77,123636,123898
123639,"LIMESTONE",77,123630,123898
123640,"FLINT",77,123630,123898
123641,"AGGREGATE",77,123630,123898
123642,"SAND",77,123630,123898
123643,"COD",77,123601,123898
123644,"MEAT",77,123586,123898
123645,"BACON",77,123644,123898
123646,"BEEF",77,123644,123898
123647,"CANNED MEAT",77,123644,123898
123648,"PORK",77,123644,123898
123649,"LARD",77,123644,123898
123650,"DAIRY PRODUCE",77,123586,123898
