Term,Notes
agreed,The advice given or comments made have been accepted by the originator of the proposal.
followed,The planning authority has accepted and implemented the recommendation.
followed in part,"The planning authority has accepted the recommendation in part, or with modifications."
not followed,The planning authority has not accepted the recommendations made.
withdrawn,The proposal that lead to the recommendation has been withdrawn.
