"TH_T_U_UID_1","TH_T_U_UID_2"
123913,123598
123598,123913
123901,123912
123912,123901
123901,123910
123910,123901
123992,123907
123907,123992
123948,123956
123956,123948
123796,123804
123804,123796
123997,123867
123867,123997
183867,183597
183597,183867
183868,183597
183597,183868
190356,183597
183597,190356
123857,123598
123598,123857
184972,123855
123855,184972
184972,123869
123869,184972
184972,123865
123865,184972
183737,123837
123837,183737
205553,183736
183736,205553
